model_name,prompt_style,shots,count,tp,tn,fp,fn,accuracy,precision,recall,f1
gemini,rules,0,100.0,31.0,51.0,13.0,5.0,0.82,0.7045454545454546,0.8611111111111112,0.775
gemini,rules,1,100.0,22.0,62.0,2.0,14.0,0.84,0.9166666666666666,0.6111111111111112,0.7333333333333334
gemini,rules,2,100.0,25.0,58.0,6.0,11.0,0.83,0.8064516129032258,0.6944444444444444,0.746268656716418
gemini,rules,3,100.0,22.0,61.0,3.0,14.0,0.83,0.88,0.6111111111111112,0.7213114754098361
gemini,simple,0,100.0,28.0,43.0,21.0,8.0,0.71,0.5714285714285714,0.7777777777777778,0.6588235294117646
gemini,simple,1,100.0,17.0,55.0,9.0,19.0,0.72,0.6538461538461539,0.4722222222222222,0.5483870967741936
gemini,simple,2,100.0,15.0,57.0,7.0,21.0,0.72,0.6818181818181818,0.4166666666666667,0.5172413793103449
gemini,simple,3,100.0,21.0,54.0,10.0,15.0,0.75,0.6774193548387096,0.5833333333333334,0.626865671641791
openai,rules,0,100.0,22.0,64.0,0.0,14.0,0.86,1.0,0.6111111111111112,0.7586206896551725
openai,rules,1,100.0,14.0,64.0,0.0,22.0,0.78,1.0,0.3888888888888889,0.56
openai,rules,2,100.0,12.0,64.0,0.0,24.0,0.76,1.0,0.3333333333333333,0.5
openai,rules,3,100.0,13.0,64.0,0.0,23.0,0.77,1.0,0.3611111111111111,0.5306122448979591
openai,simple,0,100.0,22.0,56.0,8.0,14.0,0.78,0.7333333333333333,0.6111111111111112,0.6666666666666666
openai,simple,1,100.0,16.0,62.0,2.0,20.0,0.78,0.8888888888888888,0.4444444444444444,0.5925925925925926
openai,simple,2,100.0,5.0,64.0,0.0,31.0,0.69,1.0,0.1388888888888889,0.24390243902439027
openai,simple,3,100.0,13.0,64.0,0.0,23.0,0.77,1.0,0.3611111111111111,0.5306122448979591
