APP Features 1,Review 1,APP Features 2,Review 2,Annotation,Prompt
access notes,"Never lose your notes again, and access them wherever you are, this app is perfect for any mobile note taker.",have access,I was looking for and quick and easy way to write on my kindle and have access to it everywhere.,1,"You are a feature comparison assistant.
# Rules:

# Two app features are considered the same only if they act on the same task target.

# The task target includes the specific action or object the feature acts upon, the method of performing it, and the context in which it is used.

# If the task targets differ in any way (e.g., instant vs. delayed action, intentional vs. automatic, or different objects), even if the general goal is similar, they are different features.

# Singular vs. plural variations of a feature name (e.g., ""program"" vs. ""programs"") are considered the same feature, as they refer to the same functionality.

# Focus on the task target and context of use as described in the reviews.

# Ignore superficial similarities in wording or general goal.

# Features that involve different controls, icons, or modes are considered different even if they serve a related purpose (e.g., “plus icon” vs “smokey face icon” or “goes offline” vs “offline mode”).

# Task: Given two app features and their corresponding user reviews, determine if they refer to the same feature or different features according to the rules above.

# Instructions:

# Respond with either:

# ""Same Feature"" or

# ""Different Feature""

# Include a brief explanation (1–2 sentences) supporting your classification.

# Example format:

# Feature 1: ""clip selected text""
# Review 1: ""I clip selected text, web pages and links and can access them later on any of my devices.""

# Feature 2: ""clip web pages""
# Review 2: ""I clip selected text, web pages and links and can access them later on any of my devices.""

# Classification: Different Feature
# Explanation: Although both features involve clipping content, the task targets differ: one is specific text and the other is entire web pages.

# Feature 1: ""likes""
# Review 1: ""Is this true that the updated version of WhatsApp will provide us video calling n likes & comments features???;I do wish there was a better(any) alert system like on your iPhone for when you get new alerts(comments, likes, messages).""

# Feature 2: ""liking""
# Review 2: ""Love the fact u can customize and listen offline ur playlists...also the up to date music you can Save instead of liking.""

# Classification: Same Feature
# Explanation: Both features allow users to express approval or preference, even though the content differs (posts vs music). The action mechanism is identical.

# Feature 1: ""make quick note""
# Review 1: ""Very handy to either make quick note while out or lengthy one at home from computer would recommend to family or friends.""

# Feature 2: ""make a note""
# Review 2: ""Make a note of that.""

# Classification: Different Feature
# Explanation: The task targets differ: one is for quick, on-the-go notes, while the other is general note-taking. Context and scope are different.

# Now analyze the following pair:

# Feature 1: access notes
# Review 1: Never lose your notes again, and access them wherever you are, this app is perfect for any mobile note taker.
# Feature 2: have access
# Review 2: I was looking for and quick and easy way to write on my kindle and have access to it everywhere.

# Return the output classification as : 0 for Different and 1 for same

# Output:
"
ad,There is a bug with the ads and the app will stay stuck on the ad and not play it.,play an ad,Really bad whenever it's time to play an Ad.,1,"You are a feature comparison assistant.
# Rules:

# Two app features are considered the same only if they act on the same task target.

# The task target includes the specific action or object the feature acts upon, the method of performing it, and the context in which it is used.

# If the task targets differ in any way (e.g., instant vs. delayed action, intentional vs. automatic, or different objects), even if the general goal is similar, they are different features.

# Singular vs. plural variations of a feature name (e.g., ""program"" vs. ""programs"") are considered the same feature, as they refer to the same functionality.

# Focus on the task target and context of use as described in the reviews.

# Ignore superficial similarities in wording or general goal.

# Features that involve different controls, icons, or modes are considered different even if they serve a related purpose (e.g., “plus icon” vs “smokey face icon” or “goes offline” vs “offline mode”).

# Task: Given two app features and their corresponding user reviews, determine if they refer to the same feature or different features according to the rules above.

# Instructions:

# Respond with either:

# ""Same Feature"" or

# ""Different Feature""

# Include a brief explanation (1–2 sentences) supporting your classification.

# Example format:

# Feature 1: ""clip selected text""
# Review 1: ""I clip selected text, web pages and links and can access them later on any of my devices.""

# Feature 2: ""clip web pages""
# Review 2: ""I clip selected text, web pages and links and can access them later on any of my devices.""

# Classification: Different Feature
# Explanation: Although both features involve clipping content, the task targets differ: one is specific text and the other is entire web pages.

# Feature 1: ""likes""
# Review 1: ""Is this true that the updated version of WhatsApp will provide us video calling n likes & comments features???;I do wish there was a better(any) alert system like on your iPhone for when you get new alerts(comments, likes, messages).""

# Feature 2: ""liking""
# Review 2: ""Love the fact u can customize and listen offline ur playlists...also the up to date music you can Save instead of liking.""

# Classification: Same Feature
# Explanation: Both features allow users to express approval or preference, even though the content differs (posts vs music). The action mechanism is identical.

# Feature 1: ""make quick note""
# Review 1: ""Very handy to either make quick note while out or lengthy one at home from computer would recommend to family or friends.""

# Feature 2: ""make a note""
# Review 2: ""Make a note of that.""

# Classification: Different Feature
# Explanation: The task targets differ: one is for quick, on-the-go notes, while the other is general note-taking. Context and scope are different.

# Now analyze the following pair:

# Feature 1: ad
# Review 1: There is a bug with the ads and the app will stay stuck on the ad and not play it.
# Feature 2: play an ad
# Review 2: Really bad whenever it's time to play an Ad.

# Return the output classification as : 0 for Different and 1 for same

# Output:
"
ads,Too many ads and secondly erratic interface.,ads,I would give this app a 5 if there were not so many ads,1,"You are a feature comparison assistant.
# Rules:

# Two app features are considered the same only if they act on the same task target.

# The task target includes the specific action or object the feature acts upon, the method of performing it, and the context in which it is used.

# If the task targets differ in any way (e.g., instant vs. delayed action, intentional vs. automatic, or different objects), even if the general goal is similar, they are different features.

# Singular vs. plural variations of a feature name (e.g., ""program"" vs. ""programs"") are considered the same feature, as they refer to the same functionality.

# Focus on the task target and context of use as described in the reviews.

# Ignore superficial similarities in wording or general goal.

# Features that involve different controls, icons, or modes are considered different even if they serve a related purpose (e.g., “plus icon” vs “smokey face icon” or “goes offline” vs “offline mode”).

# Task: Given two app features and their corresponding user reviews, determine if they refer to the same feature or different features according to the rules above.

# Instructions:

# Respond with either:

# ""Same Feature"" or

# ""Different Feature""

# Include a brief explanation (1–2 sentences) supporting your classification.

# Example format:

# Feature 1: ""clip selected text""
# Review 1: ""I clip selected text, web pages and links and can access them later on any of my devices.""

# Feature 2: ""clip web pages""
# Review 2: ""I clip selected text, web pages and links and can access them later on any of my devices.""

# Classification: Different Feature
# Explanation: Although both features involve clipping content, the task targets differ: one is specific text and the other is entire web pages.

# Feature 1: ""likes""
# Review 1: ""Is this true that the updated version of WhatsApp will provide us video calling n likes & comments features???;I do wish there was a better(any) alert system like on your iPhone for when you get new alerts(comments, likes, messages).""

# Feature 2: ""liking""
# Review 2: ""Love the fact u can customize and listen offline ur playlists...also the up to date music you can Save instead of liking.""

# Classification: Same Feature
# Explanation: Both features allow users to express approval or preference, even though the content differs (posts vs music). The action mechanism is identical.

# Feature 1: ""make quick note""
# Review 1: ""Very handy to either make quick note while out or lengthy one at home from computer would recommend to family or friends.""

# Feature 2: ""make a note""
# Review 2: ""Make a note of that.""

# Classification: Different Feature
# Explanation: The task targets differ: one is for quick, on-the-go notes, while the other is general note-taking. Context and scope are different.

# Now analyze the following pair:

# Feature 1: ads
# Review 1: Too many ads and secondly erratic interface.
# Feature 2: ads
# Review 2: I would give this app a 5 if there were not so many ads

# Return the output classification as : 0 for Different and 1 for same

# Output:
"
ads,Just the ads need to go,ads popping up,There are so many ads popping up that the app is now unusable because an ad pops up literally every time I close the last.,1,"You are a feature comparison assistant.
# Rules:

# Two app features are considered the same only if they act on the same task target.

# The task target includes the specific action or object the feature acts upon, the method of performing it, and the context in which it is used.

# If the task targets differ in any way (e.g., instant vs. delayed action, intentional vs. automatic, or different objects), even if the general goal is similar, they are different features.

# Singular vs. plural variations of a feature name (e.g., ""program"" vs. ""programs"") are considered the same feature, as they refer to the same functionality.

# Focus on the task target and context of use as described in the reviews.

# Ignore superficial similarities in wording or general goal.

# Features that involve different controls, icons, or modes are considered different even if they serve a related purpose (e.g., “plus icon” vs “smokey face icon” or “goes offline” vs “offline mode”).

# Task: Given two app features and their corresponding user reviews, determine if they refer to the same feature or different features according to the rules above.

# Instructions:

# Respond with either:

# ""Same Feature"" or

# ""Different Feature""

# Include a brief explanation (1–2 sentences) supporting your classification.

# Example format:

# Feature 1: ""clip selected text""
# Review 1: ""I clip selected text, web pages and links and can access them later on any of my devices.""

# Feature 2: ""clip web pages""
# Review 2: ""I clip selected text, web pages and links and can access them later on any of my devices.""

# Classification: Different Feature
# Explanation: Although both features involve clipping content, the task targets differ: one is specific text and the other is entire web pages.

# Feature 1: ""likes""
# Review 1: ""Is this true that the updated version of WhatsApp will provide us video calling n likes & comments features???;I do wish there was a better(any) alert system like on your iPhone for when you get new alerts(comments, likes, messages).""

# Feature 2: ""liking""
# Review 2: ""Love the fact u can customize and listen offline ur playlists...also the up to date music you can Save instead of liking.""

# Classification: Same Feature
# Explanation: Both features allow users to express approval or preference, even though the content differs (posts vs music). The action mechanism is identical.

# Feature 1: ""make quick note""
# Review 1: ""Very handy to either make quick note while out or lengthy one at home from computer would recommend to family or friends.""

# Feature 2: ""make a note""
# Review 2: ""Make a note of that.""

# Classification: Different Feature
# Explanation: The task targets differ: one is for quick, on-the-go notes, while the other is general note-taking. Context and scope are different.

# Now analyze the following pair:

# Feature 1: ads
# Review 1: Just the ads need to go
# Feature 2: ads popping up
# Review 2: There are so many ads popping up that the app is now unusable because an ad pops up literally every time I close the last.

# Return the output classification as : 0 for Different and 1 for same

# Output:
"
audio,Good music display and audio!,audio,However the video and audio are still choppy.,1,"You are a feature comparison assistant.
# Rules:

# Two app features are considered the same only if they act on the same task target.

# The task target includes the specific action or object the feature acts upon, the method of performing it, and the context in which it is used.

# If the task targets differ in any way (e.g., instant vs. delayed action, intentional vs. automatic, or different objects), even if the general goal is similar, they are different features.

# Singular vs. plural variations of a feature name (e.g., ""program"" vs. ""programs"") are considered the same feature, as they refer to the same functionality.

# Focus on the task target and context of use as described in the reviews.

# Ignore superficial similarities in wording or general goal.

# Features that involve different controls, icons, or modes are considered different even if they serve a related purpose (e.g., “plus icon” vs “smokey face icon” or “goes offline” vs “offline mode”).

# Task: Given two app features and their corresponding user reviews, determine if they refer to the same feature or different features according to the rules above.

# Instructions:

# Respond with either:

# ""Same Feature"" or

# ""Different Feature""

# Include a brief explanation (1–2 sentences) supporting your classification.

# Example format:

# Feature 1: ""clip selected text""
# Review 1: ""I clip selected text, web pages and links and can access them later on any of my devices.""

# Feature 2: ""clip web pages""
# Review 2: ""I clip selected text, web pages and links and can access them later on any of my devices.""

# Classification: Different Feature
# Explanation: Although both features involve clipping content, the task targets differ: one is specific text and the other is entire web pages.

# Feature 1: ""likes""
# Review 1: ""Is this true that the updated version of WhatsApp will provide us video calling n likes & comments features???;I do wish there was a better(any) alert system like on your iPhone for when you get new alerts(comments, likes, messages).""

# Feature 2: ""liking""
# Review 2: ""Love the fact u can customize and listen offline ur playlists...also the up to date music you can Save instead of liking.""

# Classification: Same Feature
# Explanation: Both features allow users to express approval or preference, even though the content differs (posts vs music). The action mechanism is identical.

# Feature 1: ""make quick note""
# Review 1: ""Very handy to either make quick note while out or lengthy one at home from computer would recommend to family or friends.""

# Feature 2: ""make a note""
# Review 2: ""Make a note of that.""

# Classification: Different Feature
# Explanation: The task targets differ: one is for quick, on-the-go notes, while the other is general note-taking. Context and scope are different.

# Now analyze the following pair:

# Feature 1: audio
# Review 1: Good music display and audio!
# Feature 2: audio
# Review 2: However the video and audio are still choppy.

# Return the output classification as : 0 for Different and 1 for same

# Output:
"
audio,The only issue I am having is the audio is a little off from the video.,audio,Good music display and audio!,1,"You are a feature comparison assistant.
# Rules:

# Two app features are considered the same only if they act on the same task target.

# The task target includes the specific action or object the feature acts upon, the method of performing it, and the context in which it is used.

# If the task targets differ in any way (e.g., instant vs. delayed action, intentional vs. automatic, or different objects), even if the general goal is similar, they are different features.

# Singular vs. plural variations of a feature name (e.g., ""program"" vs. ""programs"") are considered the same feature, as they refer to the same functionality.

# Focus on the task target and context of use as described in the reviews.

# Ignore superficial similarities in wording or general goal.

# Features that involve different controls, icons, or modes are considered different even if they serve a related purpose (e.g., “plus icon” vs “smokey face icon” or “goes offline” vs “offline mode”).

# Task: Given two app features and their corresponding user reviews, determine if they refer to the same feature or different features according to the rules above.

# Instructions:

# Respond with either:

# ""Same Feature"" or

# ""Different Feature""

# Include a brief explanation (1–2 sentences) supporting your classification.

# Example format:

# Feature 1: ""clip selected text""
# Review 1: ""I clip selected text, web pages and links and can access them later on any of my devices.""

# Feature 2: ""clip web pages""
# Review 2: ""I clip selected text, web pages and links and can access them later on any of my devices.""

# Classification: Different Feature
# Explanation: Although both features involve clipping content, the task targets differ: one is specific text and the other is entire web pages.

# Feature 1: ""likes""
# Review 1: ""Is this true that the updated version of WhatsApp will provide us video calling n likes & comments features???;I do wish there was a better(any) alert system like on your iPhone for when you get new alerts(comments, likes, messages).""

# Feature 2: ""liking""
# Review 2: ""Love the fact u can customize and listen offline ur playlists...also the up to date music you can Save instead of liking.""

# Classification: Same Feature
# Explanation: Both features allow users to express approval or preference, even though the content differs (posts vs music). The action mechanism is identical.

# Feature 1: ""make quick note""
# Review 1: ""Very handy to either make quick note while out or lengthy one at home from computer would recommend to family or friends.""

# Feature 2: ""make a note""
# Review 2: ""Make a note of that.""

# Classification: Different Feature
# Explanation: The task targets differ: one is for quick, on-the-go notes, while the other is general note-taking. Context and scope are different.

# Now analyze the following pair:

# Feature 1: audio
# Review 1: The only issue I am having is the audio is a little off from the video.
# Feature 2: audio
# Review 2: Good music display and audio!

# Return the output classification as : 0 for Different and 1 for same

# Output:
"
availability on streaming,"the lack of availability on streaming doesn't make me want to upgrade, it just pisses me off.",streaming,This app allows you to quickly and easily access Netflix content that is available for streaming.,1,"You are a feature comparison assistant.
# Rules:

# Two app features are considered the same only if they act on the same task target.

# The task target includes the specific action or object the feature acts upon, the method of performing it, and the context in which it is used.

# If the task targets differ in any way (e.g., instant vs. delayed action, intentional vs. automatic, or different objects), even if the general goal is similar, they are different features.

# Singular vs. plural variations of a feature name (e.g., ""program"" vs. ""programs"") are considered the same feature, as they refer to the same functionality.

# Focus on the task target and context of use as described in the reviews.

# Ignore superficial similarities in wording or general goal.

# Features that involve different controls, icons, or modes are considered different even if they serve a related purpose (e.g., “plus icon” vs “smokey face icon” or “goes offline” vs “offline mode”).

# Task: Given two app features and their corresponding user reviews, determine if they refer to the same feature or different features according to the rules above.

# Instructions:

# Respond with either:

# ""Same Feature"" or

# ""Different Feature""

# Include a brief explanation (1–2 sentences) supporting your classification.

# Example format:

# Feature 1: ""clip selected text""
# Review 1: ""I clip selected text, web pages and links and can access them later on any of my devices.""

# Feature 2: ""clip web pages""
# Review 2: ""I clip selected text, web pages and links and can access them later on any of my devices.""

# Classification: Different Feature
# Explanation: Although both features involve clipping content, the task targets differ: one is specific text and the other is entire web pages.

# Feature 1: ""likes""
# Review 1: ""Is this true that the updated version of WhatsApp will provide us video calling n likes & comments features???;I do wish there was a better(any) alert system like on your iPhone for when you get new alerts(comments, likes, messages).""

# Feature 2: ""liking""
# Review 2: ""Love the fact u can customize and listen offline ur playlists...also the up to date music you can Save instead of liking.""

# Classification: Same Feature
# Explanation: Both features allow users to express approval or preference, even though the content differs (posts vs music). The action mechanism is identical.

# Feature 1: ""make quick note""
# Review 1: ""Very handy to either make quick note while out or lengthy one at home from computer would recommend to family or friends.""

# Feature 2: ""make a note""
# Review 2: ""Make a note of that.""

# Classification: Different Feature
# Explanation: The task targets differ: one is for quick, on-the-go notes, while the other is general note-taking. Context and scope are different.

# Now analyze the following pair:

# Feature 1: availability on streaming
# Review 1: the lack of availability on streaming doesn't make me want to upgrade, it just pisses me off.
# Feature 2: streaming
# Review 2: This app allows you to quickly and easily access Netflix content that is available for streaming.

# Return the output classification as : 0 for Different and 1 for same

# Output:
"
availability on streaming,"the lack of availability on streaming doesn't make me want to upgrade, it just pisses me off.",streaming,"I did not want a free trial, as I already have an account and do no streaming, just DVD's.",1,"You are a feature comparison assistant.
# Rules:

# Two app features are considered the same only if they act on the same task target.

# The task target includes the specific action or object the feature acts upon, the method of performing it, and the context in which it is used.

# If the task targets differ in any way (e.g., instant vs. delayed action, intentional vs. automatic, or different objects), even if the general goal is similar, they are different features.

# Singular vs. plural variations of a feature name (e.g., ""program"" vs. ""programs"") are considered the same feature, as they refer to the same functionality.

# Focus on the task target and context of use as described in the reviews.

# Ignore superficial similarities in wording or general goal.

# Features that involve different controls, icons, or modes are considered different even if they serve a related purpose (e.g., “plus icon” vs “smokey face icon” or “goes offline” vs “offline mode”).

# Task: Given two app features and their corresponding user reviews, determine if they refer to the same feature or different features according to the rules above.

# Instructions:

# Respond with either:

# ""Same Feature"" or

# ""Different Feature""

# Include a brief explanation (1–2 sentences) supporting your classification.

# Example format:

# Feature 1: ""clip selected text""
# Review 1: ""I clip selected text, web pages and links and can access them later on any of my devices.""

# Feature 2: ""clip web pages""
# Review 2: ""I clip selected text, web pages and links and can access them later on any of my devices.""

# Classification: Different Feature
# Explanation: Although both features involve clipping content, the task targets differ: one is specific text and the other is entire web pages.

# Feature 1: ""likes""
# Review 1: ""Is this true that the updated version of WhatsApp will provide us video calling n likes & comments features???;I do wish there was a better(any) alert system like on your iPhone for when you get new alerts(comments, likes, messages).""

# Feature 2: ""liking""
# Review 2: ""Love the fact u can customize and listen offline ur playlists...also the up to date music you can Save instead of liking.""

# Classification: Same Feature
# Explanation: Both features allow users to express approval or preference, even though the content differs (posts vs music). The action mechanism is identical.

# Feature 1: ""make quick note""
# Review 1: ""Very handy to either make quick note while out or lengthy one at home from computer would recommend to family or friends.""

# Feature 2: ""make a note""
# Review 2: ""Make a note of that.""

# Classification: Different Feature
# Explanation: The task targets differ: one is for quick, on-the-go notes, while the other is general note-taking. Context and scope are different.

# Now analyze the following pair:

# Feature 1: availability on streaming
# Review 1: the lack of availability on streaming doesn't make me want to upgrade, it just pisses me off.
# Feature 2: streaming
# Review 2: I did not want a free trial, as I already have an account and do no streaming, just DVD's.

# Return the output classification as : 0 for Different and 1 for same

# Output:
"
bidding,This app makes bidding on ebay fast and easy.,keep up with my bidding,Love having Ebay so handy at all times.So easy to keep up with my bidding.,1,"You are a feature comparison assistant.
# Rules:

# Two app features are considered the same only if they act on the same task target.

# The task target includes the specific action or object the feature acts upon, the method of performing it, and the context in which it is used.

# If the task targets differ in any way (e.g., instant vs. delayed action, intentional vs. automatic, or different objects), even if the general goal is similar, they are different features.

# Singular vs. plural variations of a feature name (e.g., ""program"" vs. ""programs"") are considered the same feature, as they refer to the same functionality.

# Focus on the task target and context of use as described in the reviews.

# Ignore superficial similarities in wording or general goal.

# Features that involve different controls, icons, or modes are considered different even if they serve a related purpose (e.g., “plus icon” vs “smokey face icon” or “goes offline” vs “offline mode”).

# Task: Given two app features and their corresponding user reviews, determine if they refer to the same feature or different features according to the rules above.

# Instructions:

# Respond with either:

# ""Same Feature"" or

# ""Different Feature""

# Include a brief explanation (1–2 sentences) supporting your classification.

# Example format:

# Feature 1: ""clip selected text""
# Review 1: ""I clip selected text, web pages and links and can access them later on any of my devices.""

# Feature 2: ""clip web pages""
# Review 2: ""I clip selected text, web pages and links and can access them later on any of my devices.""

# Classification: Different Feature
# Explanation: Although both features involve clipping content, the task targets differ: one is specific text and the other is entire web pages.

# Feature 1: ""likes""
# Review 1: ""Is this true that the updated version of WhatsApp will provide us video calling n likes & comments features???;I do wish there was a better(any) alert system like on your iPhone for when you get new alerts(comments, likes, messages).""

# Feature 2: ""liking""
# Review 2: ""Love the fact u can customize and listen offline ur playlists...also the up to date music you can Save instead of liking.""

# Classification: Same Feature
# Explanation: Both features allow users to express approval or preference, even though the content differs (posts vs music). The action mechanism is identical.

# Feature 1: ""make quick note""
# Review 1: ""Very handy to either make quick note while out or lengthy one at home from computer would recommend to family or friends.""

# Feature 2: ""make a note""
# Review 2: ""Make a note of that.""

# Classification: Different Feature
# Explanation: The task targets differ: one is for quick, on-the-go notes, while the other is general note-taking. Context and scope are different.

# Now analyze the following pair:

# Feature 1: bidding
# Review 1: This app makes bidding on ebay fast and easy.
# Feature 2: keep up with my bidding
# Review 2: Love having Ebay so handy at all times.So easy to keep up with my bidding.

# Return the output classification as : 0 for Different and 1 for same

# Output:
"
bidding,Very helpful when searching and bidding!,bidding,for viewing and bidding the droid app is the way to go.,1,"You are a feature comparison assistant.
# Rules:

# Two app features are considered the same only if they act on the same task target.

# The task target includes the specific action or object the feature acts upon, the method of performing it, and the context in which it is used.

# If the task targets differ in any way (e.g., instant vs. delayed action, intentional vs. automatic, or different objects), even if the general goal is similar, they are different features.

# Singular vs. plural variations of a feature name (e.g., ""program"" vs. ""programs"") are considered the same feature, as they refer to the same functionality.

# Focus on the task target and context of use as described in the reviews.

# Ignore superficial similarities in wording or general goal.

# Features that involve different controls, icons, or modes are considered different even if they serve a related purpose (e.g., “plus icon” vs “smokey face icon” or “goes offline” vs “offline mode”).

# Task: Given two app features and their corresponding user reviews, determine if they refer to the same feature or different features according to the rules above.

# Instructions:

# Respond with either:

# ""Same Feature"" or

# ""Different Feature""

# Include a brief explanation (1–2 sentences) supporting your classification.

# Example format:

# Feature 1: ""clip selected text""
# Review 1: ""I clip selected text, web pages and links and can access them later on any of my devices.""

# Feature 2: ""clip web pages""
# Review 2: ""I clip selected text, web pages and links and can access them later on any of my devices.""

# Classification: Different Feature
# Explanation: Although both features involve clipping content, the task targets differ: one is specific text and the other is entire web pages.

# Feature 1: ""likes""
# Review 1: ""Is this true that the updated version of WhatsApp will provide us video calling n likes & comments features???;I do wish there was a better(any) alert system like on your iPhone for when you get new alerts(comments, likes, messages).""

# Feature 2: ""liking""
# Review 2: ""Love the fact u can customize and listen offline ur playlists...also the up to date music you can Save instead of liking.""

# Classification: Same Feature
# Explanation: Both features allow users to express approval or preference, even though the content differs (posts vs music). The action mechanism is identical.

# Feature 1: ""make quick note""
# Review 1: ""Very handy to either make quick note while out or lengthy one at home from computer would recommend to family or friends.""

# Feature 2: ""make a note""
# Review 2: ""Make a note of that.""

# Classification: Different Feature
# Explanation: The task targets differ: one is for quick, on-the-go notes, while the other is general note-taking. Context and scope are different.

# Now analyze the following pair:

# Feature 1: bidding
# Review 1: Very helpful when searching and bidding!
# Feature 2: bidding
# Review 2: for viewing and bidding the droid app is the way to go.

# Return the output classification as : 0 for Different and 1 for same

# Output:
"
